imdb_id,title,year_raw,released,runtime_raw,genres,director,writer,actors,language,country,awards,imdb_rating_raw,imdb_votes_raw,metascore_raw,box_office_raw,production,plot,rated,year,runtime_min,imdb_rating,imdb_votes,metascore,box_office_usd,decade,genres_list
tt0808399,"New York, I Love You",2008,16 Oct 2009,103 min,"Comedy, Drama, Romance","Fatih Akin, Yvan Attal, Randall Balsmeyer","Hu Hong, Yao Meng, Israel Horovitz","Shia LaBeouf, Natalie Portman, Bradley Cooper","English, French, Cantonese, Yiddish","United States, Bahrain",1 nomination total,6.2,"49,221",49,"$1,588,015",N/A,"Eleven love stories set in one of the most loved and hated cities of the world, New York City.",R,2008,103,6.2,49221,49.0,1588015.0,2000,"['Comedy', 'Drama', 'Romance']"
tt2318092,Endless Love,2014,14 Feb 2014,104 min,"Drama, Mystery, Romance",Shana Feste,"Shana Feste, Joshua Safran, Scott Spencer","Gabriella Wilde, Alex Pettyfer, Bruce Greenwood",English,United States,1 win total,6.2,"48,655",30,"$23,438,250",N/A,The story of a privileged girl and a charismatic boy whose instant desire sparks a love affair made only more reckless by parents trying to keep them apart.,PG-13,2014,104,6.2,48655,30.0,23438250.0,2010,"['Drama', 'Mystery', 'Romance']"
tt0098273,Sea of Love,1989,15 Sep 1989,113 min,"Crime, Drama, Mystery",Harold Becker,Richard Price,"Al Pacino, Ellen Barkin, John Goodman",English,United States,5 nominations total,6.8,"46,942",66,"$58,571,513",N/A,A detective investigating a series of murders becomes involved with a woman who may be the culprit.,R,1989,113,6.8,46942,66.0,58571513.0,1980,"['Crime', 'Drama', 'Mystery']"
tt0309530,Down with Love,2003,16 May 2003,101 min,"Comedy, Romance",Peyton Reed,"Eve Ahlert, Dennis Drake","Ewan McGregor, Renée Zellweger, David Hyde Pierce",English,"Germany, United States",4 wins & 8 nominations total,6.3,"45,872",52,"$20,305,251",N/A,"In 1962 New York City, love blossoms between a playboy journalist and a feminist advice author.",PG-13,2003,101,6.3,45872,52.0,20305251.0,2000,"['Comedy', 'Romance']"
tt2756032,The One I Love,2014,08 Aug 2014,91 min,"Comedy, Drama, Fantasy",Charlie McDowell,Justin Lader,"Mark Duplass, Elisabeth Moss, Ted Danson",English,United States,2 wins & 2 nominations total,7.0,"45,319",66,"$513,447",N/A,"A troubled couple vacate to a beautiful getaway, but bizarre circumstances further complicate their situation.",R,2014,91,7.0,45319,66.0,513447.0,2010,"['Comedy', 'Drama', 'Fantasy']"
tt0092718,Can't Buy Me Love,1987,14 Aug 1987,94 min,"Comedy, Drama, Romance",Steve Rash,Michael Swerdlick,"Patrick Dempsey, Amanda Peterson, Courtney Gains",English,"United States, Indonesia",1 win & 3 nominations total,6.8,"44,309",36,"$31,623,833",N/A,An outcast secretly pays the most popular girl in school one thousand dollars to pretend to be his girlfriend for a month.,PG-13,1987,94,6.8,44309,36.0,31623833.0,1980,"['Comedy', 'Drama', 'Romance']"
tt1407050,American Pie Presents: The Book of Love,2009,22 Dec 2009,93 min,Comedy,John Putch,"David H. Steinberg, Adam Herz (characters)","Eugene Levy, Bug Hall, Kevin M. Horton, Brandon Hardesty","English, French",USA,N/A,4.8,"44,740",N/A,N/A,N/A,"Ten years after the first American Pie movie, three new hapless virgins discover the Bible hidden in the school library at East Great Falls High.",R,2009,93,4.8,44740,,,2000,['Comedy']
tt0903657,Love & Mercy,2014,19 Jun 2015,121 min,"Biography, Drama, Music",Bill Pohlad,"Oren Moverman, Michael A. Lerner, Brian Wilson","John Cusack, Paul Dano, Elizabeth Banks",English,United States,20 wins & 58 nominations total,7.4,"44,625",80,"$12,551,031",N/A,"In the 60s, Beach Boys leader Brian Wilson struggles with emerging psychosis as he attempts to craft his avant-garde pop masterpiece. In the 80s, he's a broken, confused man under the 24-hour watch of shady therapist, Dr. Eugene L...",PG-13,2014,121,7.4,44625,80.0,12551031.0,2010,"['Biography', 'Drama', 'Music']"
tt1232207,Capitalism: A Love Story,2009,02 Oct 2009,127 min,"Documentary, Crime, History",Michael Moore,Michael Moore,"Michael Moore, William Black, Jimmy Carter","English, Russian, Spanish",United States,4 wins & 15 nominations total,7.4,"44,325",61,"$14,363,397",N/A,An examination of the social costs of corporate interests pursuing profits at the expense of the public good.,R,2009,127,7.4,44325,61.0,14363397.0,2000,"['Documentary', 'Crime', 'History']"
tt0073312,Love and Death,1975,18 Jul 1975,85 min,"Comedy, War",Woody Allen,Woody Allen,"Woody Allen, Diane Keaton, Georges Adet",English,United States,1 win & 1 nomination total,7.6,"42,536",89,"$20,123,742",N/A,"In czarist Russia, a neurotic soldier and his distant cousin formulate a plot to assassinate Napoleon.",PG,1975,85,7.6,42536,89.0,20123742.0,1970,"['Comedy', 'War']"
tt0116242,Everyone Says I Love You,1996,17 Jan 1997,101 min,"Comedy, Musical, Romance",Woody Allen,Woody Allen,"Woody Allen, Goldie Hawn, Julia Roberts","English, French, Italian, Hindi",United States,11 wins & 12 nominations total,6.7,"40,086",N/A,"$9,759,200",N/A,A New York girl sets her father up with a beautiful woman in a troubled marriage while her stepsister gets engaged.,R,1996,101,6.7,40086,,9759200.0,1990,"['Comedy', 'Musical', 'Romance']"
tt2183014,Love at First Sight,2023,15 Sep 2023,91 min,"Drama, Romance",Vanessa Caswill,"Katie Lovejoy, Jennifer E. Smith","Haley Lu Richardson, Ben Hardy, Rob Delaney",English,"United States, United Kingdom",2 wins & 1 nomination total,6.8,"39,628",55,N/A,N/A,"Two strangers connect on a flight to London, only to be separated by a twist of fate. A reunion seems improbable, but love has a way of defying the odds.",PG-13,2023,91,6.8,39628,55.0,,2020,"['Drama', 'Romance']"
